Items,Responses,Household Number,Age,Gender,Highest level of education,Still in school?,Can read / write?,Domain
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",Not applicable,123,50,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",121,70,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,116,23,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",117,56,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",173,22,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,175,26,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",125,27,Female,University,No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",Not applicable,231,49,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",233,20,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",236,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",240,27,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",Not applicable,238,27,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",239,60,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",241,67,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",242,52,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",,243,32,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,153,54,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,154,35,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,155,27,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,146,55,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,97,34,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,156,23,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,157,63,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,100,31,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,145,35,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",Not applicable,160,45,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,162,28,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will maybe get access,163,24,Male,University,No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely get access,159,,Male,,No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,164,46,Male,E.P.P (ambaratonga voalohany),No,No,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will likely not get access,170,57,Male,Lycée (ambaratonga fahatelo),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",I need to ask permission to use these resources and I will maybe get access,169,21,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,211,42,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,210,32,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,213,30,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,214,36,Male,,No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,212,58,Male,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,202,30,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",200,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,194,27,Female,Lycée (ambaratonga fahatelo),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,201,38,Male,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,207,43,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,205,30,Female,C.E.G (ambaratonga faharoa),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo","I can get these resources, no problem.",206,26,Female,University,No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,204,40,Female,E.P.P (ambaratonga voalohany),No,Yes,
"Step Five: In order to do this step, peers suggest you will need resources (such as transportation and related expenses). Do yo",These resources are not accessible to me,8,31,Female,C.E.G (ambaratonga faharoa),No,Yes,
